post_id,baseline_category,baseline_confidence,refined_category,refined_confidence,change_type,confidence_delta,baseline_entities,refined_entities
3222102468103602375,drinks,0.7,unknown,0.639,CHANGED,-0.061,"{""meal_type"": ""drinks"", ""cuisines"": [""italian""], ""content_type"": ""food_spot"", ""location"": {""name"": ""Pielands Sub & Slice"", ""slug"": ""pielands-sub-slice""}, ""signals"": {""meal_evidence"": {""drinks"": [""gin""]}, ""cuisine_evidence"": {""italian"": [""pizza""]}, ""content_evidence"": {""food_spot"": [""location_present""]}}, ""metadata"": {""hashtags"": [""atlantapizza"", ""atleats"", ""atlfoodie"", ""pielands"", ""pielandsatl"", ""virginiahighland""], ""mentions"": [""atllovesmo"", ""pielandspizza"", ""sayimafoodie"", ""virginiahighlanddistrict""], ""likes"": 46228, ""comments"": 468, ""video_views"": 445021}}","{""meal_type_evidence"": {""embedding_label"": ""snack"", ""embedding_similarity"": 0.304, ""baseline_label"": ""unknown"", ""baseline_confidence"": 0.7, ""override"": false, ""reason"": ""embedding_disagrees_but_baseline_sufficient""}, ""cuisine_evidence"": {""embedding_cuisines"": [], ""embedding_similarities"": {}, ""baseline_cuisines"": [""italian""], ""newly_detected"": [], ""removed"": [""italian""], ""reason"": ""no_strong_embedding_matches_keep_baseline""}, ""content_type_evidence"": {""embedding_label"": ""food_spot"", ""embedding_similarity"": 0.354, ""baseline_label"": ""food_spot"", ""baseline_confidence"": 0.7, ""override"": false, ""reason"": ""embedding_agrees_boost_baseline""}}"
3514476187495546860,dinner,0.75,activity,0.686,CHANGED,-0.064,"{""meal_type"": ""dinner"", ""cuisines"": [""bakery""], ""content_type"": ""activity"", ""location"": {""name"": null, ""slug"": null}, ""signals"": {""meal_evidence"": {""dinner"": [""dinner"", ""date night""], ""dessert"": [""dessert""], ""drinks"": [""bar"", ""drink""]}, ""cuisine_evidence"": {""bakery"": [""bread""]}, ""content_evidence"": {""activity"": [""experience""]}}, ""metadata"": {""hashtags"": [""atlblog"", ""atldatenight"", ""atleats""], ""mentions"": [""atllovesmo"", ""barblancatlanta""], ""likes"": 2473, ""comments"": 99, ""video_views"": 24199}}","{""meal_type_evidence"": {""embedding_label"": ""dinner"", ""embedding_similarity"": 0.442, ""baseline_label"": ""dinner"", ""baseline_confidence"": 0.75, ""override"": false, ""reason"": ""embedding_agrees_boost_baseline""}, ""cuisine_evidence"": {""embedding_cuisines"": [], ""embedding_similarities"": {}, ""baseline_cuisines"": [""bakery""], ""newly_detected"": [], ""removed"": [""bakery""], ""reason"": ""no_strong_embedding_matches_keep_baseline""}, ""content_type_evidence"": {""embedding_label"": ""food_spot"", ""embedding_similarity"": 0.442, ""baseline_label"": ""activity"", ""baseline_confidence"": 0.75, ""override"": false, ""reason"": ""embedding_disagrees_but_baseline_acceptable""}}"
3289522123696571084,drinks,0.75,dinner,0.683,CHANGED,-0.067,"{""meal_type"": ""drinks"", ""cuisines"": [], ""content_type"": ""food_spot"", ""location"": {""name"": ""Atlanta, Georgia"", ""slug"": ""atlanta-georgia""}, ""signals"": {""meal_evidence"": {""dinner"": [""date night""], ""drinks"": [""drink"", ""drinks""]}, ""cuisine_evidence"": {}, ""content_evidence"": {""food_spot"": [""location_present""]}}, ""metadata"": {""hashtags"": [""atldatenight"", ""atleats"", ""atlfun"", ""thingstodoinatlanta""], ""mentions"": [""atlantamagazine"", ""atllovesmo"", ""your3rdspot""], ""likes"": 44232, ""comments"": 1299, ""video_views"": 268973}}","{""meal_type_evidence"": {""embedding_label"": ""dinner"", ""embedding_similarity"": 0.33, ""baseline_label"": ""dinner"", ""baseline_confidence"": 0.7, ""override"": false, ""reason"": ""embedding_agrees_boost_baseline""}, ""cuisine_evidence"": {""embedding_cuisines"": [], ""embedding_similarities"": {}, ""baseline_cuisines"": [], ""newly_detected"": [], ""removed"": [], ""reason"": ""no_strong_embedding_matches_keep_baseline""}, ""content_type_evidence"": {""embedding_label"": ""food_spot"", ""embedding_similarity"": 0.38, ""baseline_label"": ""food_spot"", ""baseline_confidence"": 0.7, ""override"": false, ""reason"": ""embedding_agrees_boost_baseline""}}"
3317775349544925778,dinner,0.75,activity,0.683,CHANGED,-0.067,"{""meal_type"": ""dinner"", ""cuisines"": [], ""content_type"": ""activity"", ""location"": {""name"": null, ""slug"": null}, ""signals"": {""meal_evidence"": {""dinner"": [""dinner"", ""date night""], ""drinks"": [""cocktail""]}, ""cuisine_evidence"": {}, ""content_evidence"": {""activity"": [""experience""]}}, ""metadata"": {""hashtags"": [""atlantaeats"", ""atleats"", ""atlfoodies"", ""midtownatlanta"", ""thingstodoinatlanta""], ""mentions"": [""altatoro.atl"", ""atllovesmo"", ""linacapturelife""], ""likes"": 2872, ""comments"": 969, ""video_views"": 23069}}","{""meal_type_evidence"": {""embedding_label"": ""dinner"", ""embedding_similarity"": 0.337, ""baseline_label"": ""dinner"", ""baseline_confidence"": 0.75, ""override"": false, ""reason"": ""embedding_agrees_boost_baseline""}, ""cuisine_evidence"": {""embedding_cuisines"": [], ""embedding_similarities"": {}, ""baseline_cuisines"": [], ""newly_detected"": [], ""removed"": [], ""reason"": ""no_strong_embedding_matches_keep_baseline""}, ""content_type_evidence"": {""embedding_label"": ""food_spot"", ""embedding_similarity"": 0.338, ""baseline_label"": ""activity"", ""baseline_confidence"": 0.75, ""override"": false, ""reason"": ""weak_embedding_match_keep_baseline""}}"
3345326897829264823,unknown,0.65,activity,0.569,CHANGED,-0.081,"{""meal_type"": ""unknown"", ""cuisines"": [""mexican"", ""coffee_cafe""], ""content_type"": ""activity"", ""location"": {""name"": null, ""slug"": null}, ""signals"": {""meal_evidence"": {}, ""cuisine_evidence"": {""mexican"": [""taco""], ""coffee_cafe"": [""coffee"", ""cafe"", ""latte""]}, ""content_evidence"": {""activity"": [""park""]}}, ""metadata"": {""hashtags"": [""atlantacoffee"", ""atlblog"", ""atlcoffee"", ""atlfoodie""], ""mentions"": [""atllovesmo"", ""mercedesbenzstadium"", ""spillerpark""], ""likes"": 2230, ""comments"": 68, ""video_views"": 17386}}","{""meal_type_evidence"": {""embedding_label"": ""snack"", ""embedding_similarity"": 0.294, ""baseline_label"": ""unknown"", ""baseline_confidence"": 0.65, ""override"": false, ""reason"": ""weak_embedding_match_keep_baseline""}, ""cuisine_evidence"": {""embedding_cuisines"": [], ""embedding_similarities"": {}, ""baseline_cuisines"": [""mexican"", ""coffee_cafe""], ""newly_detected"": [], ""removed"": [""mexican"", ""coffee_cafe""], ""reason"": ""no_strong_embedding_matches_keep_baseline""}, ""content_type_evidence"": {""embedding_label"": ""food_spot"", ""embedding_similarity"": 0.452, ""baseline_label"": ""activity"", ""baseline_confidence"": 0.65, ""override"": false, ""reason"": ""embedding_disagrees_but_baseline_acceptable""}}"
3594729993219217954,unknown,0.65,activity,0.569,CHANGED,-0.081,"{""meal_type"": ""unknown"", ""cuisines"": [""coffee_cafe""], ""content_type"": ""activity"", ""location"": {""name"": null, ""slug"": null}, ""signals"": {""meal_evidence"": {}, ""cuisine_evidence"": {""coffee_cafe"": [""coffee""]}, ""content_evidence"": {""activity"": [""park""]}}, ""metadata"": {""hashtags"": [""atlblog"", ""sandysprings"", ""thingstodoinatlanta""], ""mentions"": [""welloworksatlanta""], ""likes"": 662, ""comments"": 86, ""video_views"": 6619}}","{""meal_type_evidence"": {""embedding_label"": ""drinks"", ""embedding_similarity"": 0.203, ""baseline_label"": ""unknown"", ""baseline_confidence"": 0.65, ""override"": false, ""reason"": ""weak_embedding_match_keep_baseline""}, ""cuisine_evidence"": {""embedding_cuisines"": [], ""embedding_similarities"": {}, ""baseline_cuisines"": [""coffee_cafe""], ""newly_detected"": [], ""removed"": [""coffee_cafe""], ""reason"": ""no_strong_embedding_matches_keep_baseline""}, ""content_type_evidence"": {""embedding_label"": ""mixed"", ""embedding_similarity"": 0.255, ""baseline_label"": ""activity"", ""baseline_confidence"": 0.65, ""override"": false, ""reason"": ""weak_embedding_match_keep_baseline""}}"
3332967156785293155,drinks,0.95,activity,0.864,CHANGED,-0.086,"{""meal_type"": ""drinks"", ""cuisines"": [""seafood"", ""vegan""], ""content_type"": ""activity"", ""location"": {""name"": null, ""slug"": null}, ""signals"": {""meal_evidence"": {""dinner"": [""dinner"", ""supper""], ""drinks"": [""cocktail"", ""cocktails"", ""bar"", ""drink"", ""drinks""]}, ""cuisine_evidence"": {""seafood"": [""lobster"", ""shrimp""], ""vegan"": [""vegan""]}, ""content_evidence"": {""activity"": [""show"", ""park""]}}, ""metadata"": {""hashtags"": [""atlantablog"", ""atlcabaret"", ""atleats"", ""atlnightlife"", ""thingstodoinatlanta""], ""mentions"": [""atllovesmo"", ""damselatlanta"", ""theworksatl""], ""likes"": 4712, ""comments"": 139, ""video_views"": 38136}}","{""meal_type_evidence"": {""embedding_label"": ""drinks"", ""embedding_similarity"": 0.365, ""baseline_label"": ""drinks"", ""baseline_confidence"": 0.95, ""override"": false, ""reason"": ""embedding_agrees_boost_baseline""}, ""cuisine_evidence"": {""embedding_cuisines"": [], ""embedding_similarities"": {}, ""baseline_cuisines"": [""seafood"", ""vegan""], ""newly_detected"": [], ""removed"": [""seafood"", ""vegan""], ""reason"": ""no_strong_embedding_matches_keep_baseline""}, ""content_type_evidence"": {""embedding_label"": ""food_spot"", ""embedding_similarity"": 0.404, ""baseline_label"": ""activity"", ""baseline_confidence"": 0.95, ""override"": false, ""reason"": ""embedding_disagrees_but_baseline_acceptable""}}"
3328646527159512572,lunch,0.7,activity,0.613,CHANGED,-0.087,"{""meal_type"": ""lunch"", ""cuisines"": [], ""content_type"": ""activity"", ""location"": {""name"": null, ""slug"": null}, ""signals"": {""meal_evidence"": {""lunch"": [""lunch""], ""dinner"": [""dinner""], ""drinks"": [""bar""]}, ""cuisine_evidence"": {}, ""content_evidence"": {""activity"": [""experience"", ""exhibit""]}}, ""metadata"": {""hashtags"": [""atlantablog"", ""atlfoodie"", ""atlhotels"", ""thompsonhotel""], ""mentions"": [""artmelanated."", ""atllovesmo"", ""buckheadvillagedistrict"", ""dirtyrascalatl"", ""shakeshack"", ""tesseraeatl"", ""thompsonbuckhead"", ""thompsonbuckhead.""], ""likes"": 3147, ""comments"": 97, ""video_views"": 27910}}","{""meal_type_evidence"": {""embedding_label"": ""drinks"", ""embedding_similarity"": 0.27, ""baseline_label"": ""lunch"", ""baseline_confidence"": 0.7, ""override"": false, ""reason"": ""weak_embedding_match_keep_baseline""}, ""cuisine_evidence"": {""embedding_cuisines"": [], ""embedding_similarities"": {}, ""baseline_cuisines"": [], ""newly_detected"": [], ""removed"": [], ""reason"": ""no_strong_embedding_matches_keep_baseline""}, ""content_type_evidence"": {""embedding_label"": ""food_spot"", ""embedding_similarity"": 0.357, ""baseline_label"": ""activity"", ""baseline_confidence"": 0.7, ""override"": false, ""reason"": ""embedding_disagrees_but_baseline_acceptable""}}"
3523693589622604632,unknown,0.7,activity,0.613,CHANGED,-0.087,"{""meal_type"": ""unknown"", ""cuisines"": [""coffee_cafe""], ""content_type"": ""activity"", ""location"": {""name"": null, ""slug"": null}, ""signals"": {""meal_evidence"": {}, ""cuisine_evidence"": {""coffee_cafe"": [""coffee""]}, ""content_evidence"": {""activity"": [""walk"", ""trail""]}}, ""metadata"": {""hashtags"": [""atlblog"", ""rcmemories"", ""visitlakeoconee""], ""mentions"": [""ritzcarltonreynoldslakeoconee"", ""visitlakeoconee""], ""likes"": 1546, ""comments"": 90, ""video_views"": 19659}}","{""meal_type_evidence"": {""embedding_label"": ""drinks"", ""embedding_similarity"": 0.17, ""baseline_label"": ""unknown"", ""baseline_confidence"": 0.7, ""override"": false, ""reason"": ""weak_embedding_match_keep_baseline""}, ""cuisine_evidence"": {""embedding_cuisines"": [], ""embedding_similarities"": {}, ""baseline_cuisines"": [""coffee_cafe""], ""newly_detected"": [], ""removed"": [""coffee_cafe""], ""reason"": ""no_strong_embedding_matches_keep_baseline""}, ""content_type_evidence"": {""embedding_label"": ""food_spot"", ""embedding_similarity"": 0.253, ""baseline_label"": ""activity"", ""baseline_confidence"": 0.7, ""override"": false, ""reason"": ""weak_embedding_match_keep_baseline""}}"
3348194738651834132,drinks,0.75,activity,0.656,CHANGED,-0.094,"{""meal_type"": ""drinks"", ""cuisines"": [], ""content_type"": ""activity"", ""location"": {""name"": null, ""slug"": null}, ""signals"": {""meal_evidence"": {""dinner"": [""dinner""], ""drinks"": [""cocktail"", ""cocktails""]}, ""cuisine_evidence"": {}, ""content_evidence"": {""activity"": [""walk""]}}, ""metadata"": {""hashtags"": [""atlantafoodie"", ""atldatenight"", ""atleats"", ""atlrooftop""], ""mentions"": [""atllovesmo"", ""buckheadvillagedistrict"", ""tesseraeatl"", ""thompsonbuckhead"", ""yeppacoatl""], ""likes"": 22789, ""comments"": 139, ""video_views"": 170869}}","{""meal_type_evidence"": {""embedding_label"": ""dinner"", ""embedding_similarity"": 0.245, ""baseline_label"": ""drinks"", ""baseline_confidence"": 0.75, ""override"": false, ""reason"": ""weak_embedding_match_keep_baseline""}, ""cuisine_evidence"": {""embedding_cuisines"": [], ""embedding_similarities"": {}, ""baseline_cuisines"": [], ""newly_detected"": [], ""removed"": [], ""reason"": ""no_strong_embedding_matches_keep_baseline""}, ""content_type_evidence"": {""embedding_label"": ""food_spot"", ""embedding_similarity"": 0.354, ""baseline_label"": ""activity"", ""baseline_confidence"": 0.75, ""override"": false, ""reason"": ""embedding_disagrees_but_baseline_acceptable""}}"
